iter	Passed	Remaining
0	1	146
1	2	131
2	3	127
3	4	118
4	6	117
5	7	116
6	8	115
7	9	114
8	11	113
9	12	111
10	13	110
11	14	108
12	16	107
13	17	106
14	18	105
15	19	103
16	20	102
17	22	100
18	23	99
19	24	97
20	25	96
21	26	94
22	27	92
23	28	91
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	59	54
52	60	53
53	62	52
54	62	51
55	63	50
56	64	48
57	65	47
58	66	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	92	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
